Eruption	Comment	SiO2	TiO2	Al2O3	FeOt	MnO	MgO	CaO	Na2O	Cr2O3	NiO	Total			
ETNA / AD 1974		49.78	1.2931	4.16	7.81	0.2784	13.5	21.48	0.6227	0.0094		98.9336			
ETNA / AD 1974		50.19	1.3269	4.25	7.87	0.239	13.65	21.44	0.5803	0		99.5462			
ETNA / AD 1974		48.42	1.2348	4.21	7.46	0.1846	13.55	20.61	0.5353	0.0215		96.2262			
ETNA / AD 1974		48.87	1.3087	4.47	7.65	0.3269	13.33	20.89	0.6269	0		97.4725			
ETNA / AD 1974		49.73	1.2621	4.54	7.86	0.1755	13.78	21.27	0.6398	0.0282		99.2856			
ETNA / AD 1974		48.99	1.2423	4.3	8.14	0.1362	13.21	21.7	0.5054	0		98.2239			
ETNA / AD 1974		50.29	1.3913	4.37	8.06	0.0666	13.42	21.46	0.6738	0.0191		99.7508			
ETNA / AD 1974		49.79	1.2361	4.29	7.91	0.2422	13.53	21.65	0.5704	0		99.2187			
ETNA / AD 1974		49.8	1.2407	4.12	7.96	0.1695	13.48	21.52	0.532	0.0084		98.8306			
ETNA / AD 1974		50.63	1.3502	4.35	8.32	0.2844	13.37	21.46	0.6332	0.0196		100.4174			
ETNA / AD 1974		49.4	1.3592	4.53	8.04	0.1937	13.42	21.57	0.5637	0.0768		99.1534			
ETNA / AD 1974		49.29	1.3505	4.62	7.9	0.2179	13.5	21.55	0.5281	0		98.9565			
ETNA / AD 1974		49.29	1.3025	4.35	8.16	0.2391	13.8	21.77	0.6195	0		99.5311			
ETNA / AD 1974		49.31	1.2917	4.32	7.99	0.2664	13.35	21.59	0.698	0.0657		98.8818			
ETNA / AD 1974		49.73	1.3001	4.28	8.23	0.1908	13.57	21.37	0.5401	0		99.211			
ETNA / AD 1974		49.99	1.3167	4.24	7.89	0.209	13.51	21.44	0.5416	0.0244		99.1617			
ETNA / AD 1974		50.16	1.2913	4.41	8.19	0.2151	13.48	21.67	0.5641	0.0249		100.0054			
ETNA / AD 1974		49.96	1.3245	4.41	8.06	0.1516	13.78	21.53	0.6998	0.0022		99.9181			
ETNA / AD 1974		49.79	1.3472	4.48	8.31	0.1423	13.47	21.53	0.6382	0.072		99.7797			
